kode,periode,year_range,builtUp,tC_treeCover,tC_schrub,tC_bare,tC_grass,tC_crop,treatment,after,w,treated
CILENGKRANG_CIPANJALU,9,2021_2024,0.0,346.7622820235293,13.203243317647056,0.0023887058823529,1.4769467999999997,11.034875647058822,1,1,1.0,1
CILENGKRANG_CIPANJALU,8,2017_2020,0.0,495.8775652235293,3.255731470588235,0.0,1.0364893411764702,4.109154705882353,1,1,1.0,1
CILENGKRANG_CIPANJALU,7,2013_2016,0.0,440.6518198588234,9.216224470588234,0.0,1.440578752941176,2.2181456470588237,1,0,1.0,0
CILENGKRANG_CIPANJALU,6,2009_2012,0.0,450.2889143999998,5.419540694117647,0.0,1.6062554117647052,1.9468616470588231,1,0,1.0,0
CILENGKRANG_CIPANJALU,5,2005_2008,0.0,585.3236522823532,0.0,0.0,0.5488881176470586,0.0877683529411764,1,0,1.0,0
CILENGKRANG_CIPANJALU,4,2001_2004,0.0,612.7922570823533,0.0100176352941176,0.0,0.2350453411764706,0.0,1,0,1.0,0
CILENGKRANG_CIPANJALU,3,1997_2000,0.0,617.4665364705886,0.0,0.0,0.1838606823529411,0.0,1,0,1.0,0
CILENGKRANG_CIPANJALU,2,1993_1996,0.0,632.8743463058828,0.0,0.0,0.0013469647058823,0.0,1,0,1.0,0
CILENGKRANG_CIPANJALU,1,1989_1992,0.0,632.4126890823534,0.0,0.0,0.0067348235294117,0.0,1,0,1.0,0
CIMENYAN_MEKARMANIK,9,2021_2024,0.0,243.46647825882357,7.733614447058822,0.0,0.6990746823529411,0.0,1,1,1.0,1
CIMENYAN_MEKARMANIK,8,2017_2020,0.0,273.41649063529405,5.108994,0.0,0.523295788235294,0.0,1,1,1.0,1
CIMENYAN_MEKARMANIK,7,2013_2016,0.0,273.070247717647,2.6146028117647058,0.0,0.6950337882352939,0.0,1,0,1.0,0
CIMENYAN_MEKARMANIK,6,2009_2012,0.0,273.30107632941167,2.574532270588235,0.0,0.6977277176470587,0.0,1,0,1.0,0
CIMENYAN_MEKARMANIK,5,2005_2008,0.0,302.61631002352937,2.554497,0.0,0.3542517176470587,0.0,1,0,1.0,0
CIMENYAN_MEKARMANIK,4,2001_2004,0.0,302.9048457882353,0.0,0.0,0.5226223058823529,0.0,1,0,1.0,0
CIMENYAN_MEKARMANIK,3,1997_2000,0.0,317.6201697882353,0.0,0.0,0.3508843058823528,0.0,1,0,1.0,0
CIMENYAN_MEKARMANIK,2,1993_1996,0.0,347.6855964705882,0.0,0.0,0.0026939294117647,0.0,1,0,1.0,0
CIMENYAN_MEKARMANIK,1,1989_1992,0.0,347.9164250823529,0.0,0.0,0.0,0.0,1,0,1.0,0
CIMENYAN_CIBURIAL,9,2021_2024,0.0,1120.1535457411776,8.054178776470586,0.0,0.3758031529411764,0.0,1,1,1.0,1
CIMENYAN_CIBURIAL,8,2017_2020,0.0,1194.884308800002,0.6311110235294118,0.0,0.0094287529411764,0.0,1,1,1.0,1
CIMENYAN_CIBURIAL,7,2013_2016,0.0,1147.045079011766,7.974037694117646,0.0,0.0067348235294117,0.7659783529411764,1,0,1.0,0
CIMENYAN_CIBURIAL,6,2009_2012,0.0,1142.2553853176482,0.2003527058823529,0.0,0.0,7.699678235294118,1,0,1.0,0
CIMENYAN_CIBURIAL,5,2005_2008,0.0,1185.881992941178,0.0,0.0,0.0067348235294117,1.7793038823529408,1,0,1.0,0
CIMENYAN_CIBURIAL,4,2001_2004,0.0,1199.0969309647078,0.0,0.0,0.0,0.0,1,0,1.0,0
CIMENYAN_CIBURIAL,3,1997_2000,0.0,1199.3277595764723,0.0,0.0,0.0,0.0,1,0,1.0,0
CIMENYAN_CIBURIAL,2,1993_1996,0.0,1199.3277595764723,0.0,0.0,0.0,0.0,1,0,1.0,0
CIMENYAN_CIBURIAL,1,1989_1992,0.0,1198.9238095058845,0.0,0.0,0.0,0.0239368235294117,1,0,1.0,0
CIMENYAN_CIMENYAN,9,2021_2024,0.0,378.5012161411763,13.87442488235294,0.0,1.2654733411764705,3.0559344705882356,1,1,1.0,1
CIMENYAN_CIMENYAN,8,2017_2020,0.0,571.5893498823528,2.334109023529411,0.0,0.0,0.542568,1,1,1.0,1
CIMENYAN_CIMENYAN,7,2013_2016,0.0,445.15297778823515,8.725360341176469,0.0,0.5455207058823527,6.470921294117646,1,0,1.0,0
CIMENYAN_CIMENYAN,6,2009_2012,0.0,488.7795854117647,2.554497,0.0,0.4768255058823529,6.135805764705882,1,0,1.0,0
CIMENYAN_CIMENYAN,5,2005_2008,0.0,524.6734345411764,0.0,0.0,0.2074325647058823,6.431026588235294,1,0,1.0,0
CIMENYAN_CIMENYAN,4,2001_2004,0.0,483.81677025882345,0.0,0.0,0.5185814117647058,8.393846117647056,1,0,1.0,0
CIMENYAN_CIMENYAN,3,1997_2000,0.0,588.4975456941179,0.0,0.0,0.0,0.0319157647058823,1,0,1.0,0
CIMENYAN_CIMENYAN,2,1993_1996,0.0,588.9592029176473,0.0,0.0,0.0,0.0,1,0,1.0,0
CIMENYAN_CIMENYAN,1,1989_1992,0.0,588.7283743058825,0.0,0.0,0.0,0.0,1,0,1.0,0
